"","FIPS","State","Year","n","total_n","power"
"92",45,"South Carolina",2020,5154774,333544649,1.54545246504614
"93",46,"South Dakota",2020,900612,333544649,0.270012426432301
"94",47,"Tennessee",2020,6839046,333544649,2.05041394623003
"95",48,"Texas",2020,29755854,333544649,8.92110069497772
"96",49,"Utah",2020,3222596,333544649,0.966166301771491
"97",50,"Vermont",2020,626314,333544649,0.187775160500326
"98",51,"Virginia",2020,8744273,333544649,2.62161993190903
"99",53,"Washington",2020,7599119,333544649,2.27829138401198
"100",54,"West Virginia",2020,1836143,333544649,0.550493916033412
"101",55,"Wisconsin",2020,5848732,333544649,1.75350796888365
"102",56,"Wyoming",2020,607219,333544649,0.182050289764954
"103",1,"Alabama",2030,5083599,360828811,1.40886726475952
"104",2,"Alaska",2030,822972,360828811,0.228078239572726
"105",4,"Arizona",2030,8210714,360828811,2.27551507797974
"106",5,"Arkansas",2030,3157232,360828811,0.87499443053066
"107",6,"California",2030,44941488,360828811,12.4550719426892
"108",8,"Colorado",2030,6854893,360828811,1.89976320931867
"109",9,"Connecticut",2030,3634820,360828811,1.00735304088564
"110",10,"Delaware",2030,1093869,360828811,0.303154561568533
"111",11,"District of Columbia",2030,916799,360828811,0.254081429212702
"112",12,"Florida",2030,25020477,360828811,6.93416829178865
"113",13,"Georgia",2030,11842775,360828811,3.28210349034462
"114",15,"Hawaii",2030,1650906,360828811,0.457531646495934
"115",16,"Idaho",2030,1925330,360828811,0.533585440326715
"116",17,"Illinois",2030,12929838,360828811,3.58337183889676
"117",18,"Indiana",2030,7009809,360828811,1.94269658805045
"118",19,"Iowa",2030,3349116,360828811,0.928173110877224
"119",20,"Kansas",2030,3079467,360828811,0.853442659267028
"120",21,"Kentucky",2030,4670409,360828811,1.29435589886973
"121",22,"Louisiana",2030,5074190,360828811,1.40625965702057
"122",23,"Maine",2030,1330709,360828811,0.368792335709578
"123",24,"Maryland",2030,6705335,360828811,1.85831474527127
"124",25,"Massachusetts",2030,7531133,360828811,2.0871761817268
"125",26,"Michigan",2030,10022703,360828811,2.77768922393506
"126",27,"Minnesota",2030,6040677,360828811,1.67411160523986
"127",28,"Mississippi",2030,3060728,360828811,0.84824933782796
"128",29,"Missouri",2030,6351566,360828811,1.7602712994002
"129",30,"Montana",2030,1164612,360828811,0.32276025763364
